,Store
0,10
1,62
2,110
3,163
4,300
5,333
6,388
7,392
8,448
9,467
10,486
11,489
12,524
13,549
14,566
15,632
16,749
17,765
18,811
19,826
20,872
21,880
22,883
23,896
24,913
25,954
26,956
27,966
28,1022
29,1108
30,259
31,335
32,353
33,423
34,494
35,562
36,676
37,682
38,733
39,769
40,70
41,130
42,131
43,208
44,321
45,349
46,382
47,398
48,442
49,444
50,474
51,482
52,499
53,554
54,595
55,654
56,666
57,678
58,708
59,747
60,787
61,854
62,857
63,860
64,861
65,968
66,978
67,996
68,1006
69,1055
70,31
71,56
72,75
73,80
74,94
75,154
76,261
77,291
78,350
79,356
80,372
81,424
82,493
83,521
84,525
85,578
86,585
87,601
88,605
89,723
90,740
91,803
92,850
93,865
94,940
95,960
96,1010
97,1046
98,1089
99,1101
